team_name,team_bio
Aaron & Arianne,"
“”

BioQ & A
Aaron and Arianne have been friends for over 15 years after meeting at the Florida Academy of Dramatic Arts. Aaron thought ""she was stuck up, a show off and developed a huge crush on her that he want to crush her.""
They are the worst of friends and have traveled through life together: ""it's been like a steel coaster--scary."" They have shared many wonderful memories together and hard times as well. The only problem with being more than just friends is that Aaron is gay and Arianne is straight. As Arianne says, her biggest disappointment with Aaron is that ""they planned to be together some day they will not be naturally conceived.""
They both look at this experience as an opportunity to travel the world with their best friend. Aaron describes himself as passionate, loyal and carefree, while Arianne describes herself as emotional, exotic and down to earth. They feel that they will win because of their physical abilities, agility, urban sensibility and, of course, their sense of humor.
The agree that the most important items in their backpacks are their iPod and wristbands, because as they say ""music inspires us and our style inspires others."" Aaron and Arianne are fluent in both body language and the international language of love.

Aaron received his B.F.A. from New York University and is now a pre-school teacher in New York. His birth date is November 12. Arianne attended Northwestern University and received her B.S. in speech. Her birth date is February 3.[1]


 I've done a lot of domestic and a little international traveling. It's all been a positive experience. I love to see new things, meet new people, and especially, eat new foods. I'm looking forward to seeing more.
 I've had some good times in a small handful of countries. It's high time to cover the rest of the world.


 The actual act of traveling. Airports have a tendency to stress me out, so does waiting in lines, large crowds and cramped spaces.
 Obtaining airline tickets, long lines and misplacing my passport.


 Our iPod & our wristbands. Music and style are integral parts of our lives, both individually and as a Team.
 We have an iPod, wristbands and pretty Persian scarves. This is very important, because music inspires us, and our style inspires others.


 The chance to check out of my day-to-day life and have the adventure of a lifetime with my best friend. Also, more and more, the money seems to be appealing.
 I have nothing better to do than take a free trip around the world and win a million dollars.


 Yes. Domestic and short-term, but always a blast.
 We have traveled through life together. It's been like a roller coaster: scary, thrilling and so much fun.


 Eating live insects and being in deep ocean waters.
 I'm afraid of eating live bugs and the chance my parachute won't open.


 I'm very focused. When I set my mind on something, it gets done. I can usually get what I want and I can multi-task with the best of them. My directness in getting things accomplished can sometimes be off-putting to others. I get so focused that I have a tendency not to recognize how I affect others. When task-mastering, I have no patience.
 My strengths tend to be Aaron's weaknesses and vice versa. I tend to be more laid back and tolerant of the status quo, whereas Aaron brings a certain clear-minded focus. These traits can be strengths or weaknesses depending on the situation. We really complement each other in that way. We're both in the best shape of our lives and have a fierce endurance. We're agile and able to learn and adapt to awkward physical challenges. Our urban sensibility makes us well-suited to handle new cultures, and our sense of humor makes our weaknesses a little less weak and a lot more funny.


 Arianne is compassionate, capable, determined and sexy. Her physical strength blended with her inner and outer beauty, sprinkled with her urban savvy, survival instincts and sense of humor, is a recipe for success. Her only weakness in relation to the Race might be her judgment with people. She wants to believe in everyone.
 See my answer to the previous question.


 My cats, Siena and Sydney, first. But coming in a close second is my shower and all its gorgeous products.
 I will miss my cat, Ming. I'll also miss my phone.


 The international language of love.
 I speak body language fluently.


 I'd love to do some extensive European traveling, especially in the Mediterranean.
 I have this Tokyo itch. I really want to check out Japan.


 Aside from language barriers, I feel confident that I'm prepared for anything or anyplace.
 I lived in the U.K. for a semester during college. I know London pretty well and have visited Scotland and Wales. And the locals seem to have a real grasp of the English language.[2]
"
Aastha & Nina,"[1]
Aastha Lal and Nina Duong, engaged from Marina Del Ray, California.
Aastha, 33, works as a VP of Operations. Nina, 34, is a Director of Business Development. The couple has been together for four years and recently got engaged. Aastha is living out her fan dream getting to compete on , especially alongside her fiancé. They call themselves ""mentally threatening,"" hoping their brain power can get them a nice chunk of change for their upcoming wedding.
"
Abbie & Ryan,"[1]
Abbie[] 31
 Encinitas, Calif.
 Dating Divorcees
 Dance Instructor/Choreographer
 I technically train competitive students which includes tap, jazz, turning/jumping and condition classes. I also choreograph dance routines and design costumes/props for competitive dance groups and soloists on a regional/national level.
 Dance, design and exercise.
 Creative, athletic and thoughtful.
 I am most proud of the training and growth that I have provided for the past eight years at my dance studio as well as the accomplishments that I have helped my students to achieve. It is so rewarding to see students achieve their goals and grow as dancers and human beings.
 Katniss
 Hugh Jackman for his stellar good looks (not for the song and dance talent, though.)
 Getting lost and not having the ability to communicate.
 I hate how generic this is, but it is true… Exploring new places that I have never been to before.
 I would have to say it's a tie between learning to communicate and not piss each other off at the same time. We can be juvenile and sarcastic with one another. The other would be our battle for control/power between over each other. We are both Type ""A"" and can be bull-headed.
 He's addicted to his phone and can't disconnect easily. Also, his impulsivity can cause problems.
 I would love to visit Paris, France and go back to the 1920s. Can we make that happen? Last time I went I was 21 and broke. I could barely afford a baguette. I'm hoping this time will be a step up from that.
 I'm hoping to gain some clarity on what I mean to Ryan. I feel lately that our relationship has become a rollercoaster. The highs are high but the lows are low. I am trying to be patient, but I know what I want and right now he can't give that to me.
Ryan[] 35
 San Diego, Calif.
 Dating Divorcees
 Financial Service Company Owner and Start Up Company Entrepreneur
 Creating, Communicating and Implementing.
 Brazilian Jiu Jitsu
 Positive, unfiltered and danger seeking.
 Forming, developing and branding an ever-lasting, internationally recognized and reputable financial services firm with over 6.5 billion dollars in assets under service/management.
 Oprah, because she is giving, smart and successful.
 Being taken and held hostage.
 Immersing myself in new environments and new people. Absorbing a new culture.
 When we fight I spit venom and don't tend to converse like a normal human being.
 She is over analytical, doesn't compromise and plays the victim.
 Thailand – It looks beautiful and is close to other counties. I hate traveling to just one place; I'd prefer to have access to nearby countries.
 I hope to gain clarity about this relationship. Can it work at a time when I want to be boyfriend/girlfriend and she wants something more?
"
Abby & Will,"[1]
Abby Garrett and Will Freeman, childhood sweethearts from Birmingham, Alabama.
Abby, 24, is a data scientist. Will, 25, is an accountant. The couple has been dating for eight years, but have known each other since they were kids. They hope that familiarity will lead to a successful dynamic on the race. They both grew up watching , consistently game planning how they would do on the race. And we'll see how that preparation translates from the couch to the seat of a taxi!
"
Adam & Bethany,"[2]
Adam[] 26
 Princeville, Hawaii
 Husband
 Professional husband. Full-time support.
 Switching my life from full-time youth ministry and substitute teacher to married life has been an amazing experience. I love being with my wife as she travels so often and being her rock, support and encourager for life.
 Hard-working, easy-going and patient.
 Surfing, adventure (hiking, exploring, etc.) and spear fishing.
 Having awesome friends.
 Tom Cruise.
 Amelia Earhart.
 Not being able to communicate well with people in foreign countries and getting lost!
 Experiencing new cultures and sharing those adventures with my best friend/wifey.
 We sometimes have a hard time communicating when we are frustrated with one another. I want us to be more open and talk about these frustrations before they build up into something bigger.
 Sometimes she eats with her mouth open.
 New Zealand or Iceland. They are both beautiful and have tons of outdoor adventures like surfing, hiking and extreme sports.
 I hope the experience will test our relationship, draw us closer and strengthen our marriage.
Bethany[] 24
 Princeville, Hawaii
 Wife
 Pro Surfer and Motivational Speaker
 I travel the world surfing unique locations and compete against the best women in the world. I love surfing. I also speak to different groups in the U.S. and internationally, motivating them to live a life of overcoming!
 Determined, positive and adventurous.
 Surfing, tennis, working out, creating healthy meals and hanging with my hubby and dogs.
 Surfing with one arm!
 My mom. She loves surfing like me.
 Matthew McConaughey
 Being away from the ocean and long sits on planes.
 I love seeing the unique beauties of other countries, experiencing different cultures and doing it with Adam.
 I'm a girl and I'm more emotional. Plus, I have one arm.
 When he doesn't share.
 I've always wanted to go to Madagascar because it seems remote and adventurous. Peru, to surf and Machu Picchu. Also, Israel because it's a bible land.
 I hope Adam and I have a fun time adventuring in different countries and doing challenges. I hope we can have great teamwork and communication. I just want to have a blast!
"
Adam & Rebecca,"


BioBefore the Race
Adam & Rebecca are an ex-couple that met at a spinning class. Rebecca's first impression of Adam was that he was gay, but after he pursued her for months, he proved otherwise. Both of them are spinning teachers/personal trainers.
Both say that they share similar sensibilities, are very competitive and are both interested in fitness, but are different in every other way. She is social, he isn't. She's outgoing, he's not. He is practical and prefers routine, while she is spontaneous.

Rebecca says she's doing the Race because she could use the cash, but Adam says his main motivation for doing THE AMAZING RACE is that after years of sitting on his couch watching the Race and saying, ""I can do that,"" he wants to prove that he really can.[1]


 My previous travel experience is limited at best. For me, going from the [San Fernando] Valley to Santa Monica is quite the trek. I consider a long trip sitting in the car for more than 45 minutes.
 Vast. I am very restless and have trouble staying put. I studied in London for six months and often missed class because I was always traveling.


 I do not know what the most stressful aspect of traveling is. I really do not even know what ""traveling"" is like. Good luck to me.
 I hate flying. But with today's advances in prescription drugs, I'm dealing with this.


 I wanted to be on THE AMAZING RACE because it is my favorite TV show. Every week, I sit and watch and think to myself, ""These people are crazy. I'm crazy. I could do this."" Also, I thought I needed a vacation. Again, good luck to me.
 Traveling the world for free sounds really good to me!


 Rebecca and I have traveled together in the past. I went on a cruise to the Caribbean with her and her family and hung out at their home in Virginia Beach for a couple of weeks. It was one of the best times I have ever had in my life.
 Adam came with my family on a cruise in the Caribbean and then we spent some time together in my hometown, Virginia Beach. We had our usual daily arguments over trivial things, but overall we had a great time!


 My biggest fear concerning the competition is possibly having to bungee jump. The thought has been leaving me sleepless.
 My biggest fear is that Adam and I will kill each other and will not be able to finish the Race because we will be dead.


 I am not the bravest person on the planet. I do not like heights, bugs, weird food, heat, extreme cold or anything else outside my routine. On the other hand, I am relentless, motivating, strong, smart and competitive.
 I have strong communicative skills and can easily adapt. My weakness is that I'm very impatient, mostly with Adam. I have no sense of direction and cannot read a map to save my life.


 Rebecca might just be the bravest person on the planet. She is not scared of anything (even if she is, she will try it anyway) and hates routine. Rebecca does not possess the gift of patience, which she will need in dealing with me.
 Adam is very competitive and passionate about everything he does. He will give 100 percent and never give up. He can be verbally abusive to me, and has trouble being social. He often isn't the friendliest, and I'm afraid that will hinder us from forming potential alliances.


 I will miss my dog Bailey the most. A close second is my spinning class. I never miss it. Hi Spinners.
 Other than my friends and family, I have no attachments, except maybe my spicy tuna rolls and my spinning classes.


Adam: I speak English, though some would question that statement. Also, yo hablo Espanol, un poco.
Rebecca: A little Hebrew, but somehow I don't think that will come in very handy on this Race.


Adam: I am hoping that the Race takes us to Argentina, as my grandparents are from there. I have always wanted to visit.
Rebecca: I really want to go to Africa and Asia.


 I feel best prepared to go where the weather is a balmy 78 degrees all the time and the protein bars flow like water from every corner store. Hmmmm, sounds like home.
 England: no language barrier, and I've spent a lot of time there.[2]
"
Aiello Family,"
When Tony Aiello first met the men who would eventually capture the hearts of his three beloved daughters, he never thought he'd end up racing around the world with them. ""Forget about it,"" he'd quip.
Compelled by a gnawing curiosity about how his three sons-in-law would handle such a competition, Tony, leads the unlikely foursome from Mansfield, Massachusetts, for their first official trip without their wives by their side.
Tony, 57, is the leader in both age and experience. He works as a restaurant consultant and describes himself as protective and competitive. Even though his favorite movie of all time is the ""Godfather,"" his tough exterior melts away when it comes to his daughters, who he says are his greatest accomplishment.
Kevin, 31, is married to one of Tony's twin daughters. His successful career in public relations for a high-tech company has honed his diplomatic skills. The father of two is a self-described risk-taker with a love for travel and adventure.
Matt, also 31, works as corporate project manager and is known for his fearlessness and sense of humor. Matt, married to Tony's other twin daughter, is a father of two as well.
David, 26, is the youngest on the team, but the most well-trained. His career as a police officer in Rhode Island is preceded by eight years as an infantryman in the U.S. Marine Corps. He's married to Tony's youngest daughter.
The Race will surely show these in-laws the different sides to each other as they are forced to bond outside the familiar comfort of their family circle.[1]
"
Aja & Ty,"
This long-distance couple is looking for an opportunity to be together for an extended period of time. They've been dating long distance for nine months, living in two separate states and the longest time they've spent together was last Christmas for two weeks. They feel that the Race will help them determine if they can truly handle living together on a daily basis.
Having met each other four years ago at the University of Michigan, they quickly became friends, although Aja was dating someone else. When things turned sour, Aja realized Ty was the one for her – the only problem was she was living in Los Angeles and Ty was in Detroit.
Aja is an aspiring actress who also works as a makeup artist. She describes herself as energetic, insightful and compassionate. When asked what her biggest pet peeve about her teammate was, Aja said that Ty is known to have a poor estimation of time.
Ty is no stranger to the gym and he describes himself as ultra-competitive and hates the thought of losing. Currently, he works as a banker out of Detroit. He has not had the opportunity to travel much outside of the United States and looks forward to the Race as a chance to explore other cultures and compete against the game's best. He hopes they are as hungry to win as he is. Ty believes that Aja's biggest weakness is she is easily upset.[1]
"
Akbar & Sheri,"[1] and Parade.com[2]
Akbar Cook[] Akbar Cook
 45
 Martinsville, New Jersey
 Educator
Sheri Cook[] Sheridan Cook
 44
 Martinsville, New Jersey
 Educator
Akbar Cook and Sheri Cook, married educators from Martinsville, New Jersey.
Akbar, 45, and Sheri, 44, have been married for 17 years with three children. They met in college, both playing Division 1 basketball. They hope their time in education has given them the patience to run a successful race and take home the million dollars for both their children and students.
"
Alex & Adam,"[1]
Alex[] 22
 Champaign, Ill.
 Cousin
 Department Supervisor in Retail sales
 I am in charge of the apparel department.  I take new products and put them on the floor while supervising the store.
 Funny, a ladies man and courageous.
 Coaching, bowling and hiking.
 Making it to the state tournament for wrestling in high school and receiving my Associates degree.
 Matt Damon
 Matthew Broderick
 Getting completely lost.
 I'm excited to see different cultures and traditions.  Also, seeing the different landscapes.
 My partner talks way too much.  I'll have to talk over him just so he can hear me.
 He plans everything out and overthinks everything!
 India. I have always wanted to see the Himalayas and meet a Sherpa.
 I hope to gain many funny memories, prove that I can accomplish and am capable of anything, and conquer my fears!
 @Atm105
Adam[] 24
 Des Moines, Iowa (Currently lives in Valley Village, Calif.)
 Cousin
 Host/server
 I am part of the host training team. I am also a server, so I brighten peoples' day with food!
 Dependable, lively and enthusiastic.
 Storm chasing in the Midwest, hiking and singing.
 Moving to Los Angeles when I was 18. I didn't know a single person and have now made a life for myself.
 Adam DeVine.
 Matt Damon and Bruce Willis.
 Trying different foods and getting completely lost.
 Seeing the beauty of nature and learning new customs. I want to go everywhere!
 When Alex gets stressed, he tends to blame others for the problem. When he gets competitive, he gets very loud.
 He puts things off until the last minute, whereas I like to plan things out.
 Netherlands. I'm Dutch and it would be unbelievable to see where my ancestors came from and how they lived.
 I know there are going to be a lot of stressful situations, but I hope to stay positive and live in the moment to experience all the different cultures.
 @Adingeman
 @ading12345
"
